?property	?propertyType	?propertyLabel	?propertyDescription	?propertyAltLabel
<http://www.wikidata.org/entity/P6087>		coach of sports team@en	sports club or team for which this person is or was on-field manager or coach@en	club manager of, club manager of sports team, co-manager of, coach of, coach of sports club, coach of sports team, goalie coach of, head coach of, manager of, manager of sports team, senior coach of, senior coach of sports team, team manager of, team manager of sports team, trainer of, trainer of sports team@en
<http://www.wikidata.org/entity/P6364>		official color(s)@en	official color or colors chosen to represent or identify an item@en	official colour, signature color, signature colour, official colors, official colours@en
<http://www.wikidata.org/entity/P6872>		has written for@en	publication an author has contributed to@en	is writing for, writer for, writes for, written for, wrote for@en
<http://www.wikidata.org/entity/P7047>		enemy of@en	opponent character or group of this fictive character or group@en	arch-enemy of, archenemy of, archfoe of, archnemesis of, archrival of, archvillain of, opponent of, rival of@en
<http://www.wikidata.org/entity/P7152>		copyright exemption@en	copyright exemption this file is covered by@en	
<http://www.wikidata.org/entity/P7779>		member of military unit@en	smallest military unit that a person is/was in@en	military unit, unit@en
<http://www.wikidata.org/entity/P7936>		business model@en	business model a business enterprise or creative work operates under@en	
<http://www.wikidata.org/entity/P8047>		country of registry@en	country where a ship is or has been registered@en	flag state@en
<http://www.wikidata.org/entity/P8138>		located in the statistical territorial entity@en	statistical territorial entity in which a place is located or is part of. If a municipality or county is split into or part of several regions: add several values@en	statistical territorial entity@en
<http://www.wikidata.org/entity/P8413>		academic appointment@en	this person has been appointed to a role within the given higher education institution or department; distinct from employment or affiliation@en	
<http://www.wikidata.org/entity/P8764>		port calls@en	harbor or port at which the ship stopped; port of call@en	port of call@en
<http://www.wikidata.org/entity/P8791>		digitised by@en	institution or person who digitised of an exemplar of this item. Qualify with \criterion used\" (P1013) to indicate which step was done."@en	digitized by, scanned by@en
<http://www.wikidata.org/entity/P8839>		hairstyle@en	style of cutting, arranging, or combing the hair on the subject's scalp@en	haircut, coiffure, hair do, hair styling, hairdo, 'do, hair cut@en
<http://www.wikidata.org/entity/P8852>		facial hair@en	style of cutting, arranging, or combing the hair on the subject's face (usually on the chin, cheeks, and upper lip region); beard@en	beard, mustache, moustache, face hair@en
<http://www.wikidata.org/entity/P8938>		artistic director@en	person responsible for the overall artistic vision of an organization and for its execution@en	
